,Factor1,Factor2,Factor3,Factor4,filename,microregister,macroregister,mode
comments2015.26415827_MAT.txt,-0.397084746766045,-0.224467780589984,1.43135028395732,0.146860241657744,comments2015.26415827_MAT.txt,online comments,online comments,written
comments2015.26904315_MAT.txt,-0.504363803943542,-0.130475442066919,1.41701153872351,0.236103263580228,comments2015.26904315_MAT.txt,online comments,online comments,written
comments2015.26995524_MAT.txt,-0.444377827308291,-0.465528376484216,1.39772679793421,0.188507556924049,comments2015.26995524_MAT.txt,online comments,online comments,written
comments2015.27165050_MAT.txt,-0.138252794389942,-0.105312017919413,0.996924309470075,0.52181320358261,comments2015.27165050_MAT.txt,online comments,online comments,written
comments2015.27239046_MAT.txt,-0.142258003532421,0.848581174311907,1.51541151017353,-0.586100139623535,comments2015.27239046_MAT.txt,online comments,online comments,written
comments2015.27535617_MAT.txt,-0.326774606676455,-0.287171927889187,1.66426540502866,-0.367073708150162,comments2015.27535617_MAT.txt,online comments,online comments,written
comments2015.27608744_MAT.txt,-0.675516454550374,-0.093201174051039,1.39812095736721,-0.144758754074116,comments2015.27608744_MAT.txt,online comments,online comments,written
comments2015.27695104_MAT.txt,-0.86515513391911,-0.542539087143149,0.981773657014673,-0.798030195217431,comments2015.27695104_MAT.txt,online comments,online comments,written
comments2015.27743898_MAT.txt,-0.496900505740266,0.2163750431858,1.16816733513205,-0.76101513101634,comments2015.27743898_MAT.txt,online comments,online comments,written
comments2015.27910650_MAT.txt,-0.342887074748208,0.562070997181562,1.45751102154927,-0.535607781589416,comments2015.27910650_MAT.txt,online comments,online comments,written
comments2016.28439365_MAT.txt,-0.09953493603701,-0.092768575120148,1.45374788964481,-0.641333486871827,comments2016.28439365_MAT.txt,online comments,online comments,written
comments2016.28746460_MAT.txt,-0.573567597555066,-0.50799776131811,1.29548034811406,-0.118491281819383,comments2016.28746460_MAT.txt,online comments,online comments,written
comments2016.28814433_MAT.txt,-0.512118837965512,0.301045622748178,1.12222289375748,-0.162234725432519,comments2016.28814433_MAT.txt,online comments,online comments,written
comments2016.29030490_MAT.txt,-0.284063169328522,-0.008646572089729,1.4952453564311,-0.4814863634475,comments2016.29030490_MAT.txt,online comments,online comments,written
comments2016.29282579_MAT.txt,-0.264895194673518,0.694046088709686,1.37786060977078,-0.513969650669182,comments2016.29282579_MAT.txt,online comments,online comments,written
comments2016.29295022_MAT.txt,-0.36355011262876,-0.168111396324273,1.78345702182493,-0.122538670186033,comments2016.29295022_MAT.txt,online comments,online comments,written
comments2016.29494028_MAT.txt,-0.028069328255948,0.927529790311519,1.62242130948744,0.763537484093845,comments2016.29494028_MAT.txt,online comments,online comments,written
comments2016.29661863_MAT.txt,-0.349670946171226,-0.542280252739656,1.58479669685169,-0.144438669877417,comments2016.29661863_MAT.txt,online comments,online comments,written
comments2016.30273090_MAT.txt,-0.384714764329325,0.538158512780596,1.01285625196492,-0.510832247705506,comments2016.30273090_MAT.txt,online comments,online comments,written
comments2016.30726665_MAT.txt,-0.093859607207191,0.227486819040615,1.51980138362805,0.154526735112823,comments2016.30726665_MAT.txt,online comments,online comments,written
comments2016.31520824_MAT.txt,-0.350603458981818,0.024046020384519,1.21025573431728,-0.140282128537791,comments2016.31520824_MAT.txt,online comments,online comments,written
comments2016.31691976_MAT.txt,-0.330146405941454,0.632549391115543,1.57757720843124,-0.168320872461874,comments2016.31691976_MAT.txt,online comments,online comments,written
comments2016.32301637_MAT.txt,-0.419995725295123,-0.007552337720577,1.88859194939788,-0.359925330388612,comments2016.32301637_MAT.txt,online comments,online comments,written
comments2016.32323302_MAT.txt,-0.498399683256225,1.0309503166498,1.24822496081316,0.387673660405319,comments2016.32323302_MAT.txt,online comments,online comments,written
comments2016.32357872_MAT.txt,-0.45572050407036,-0.221161139760859,1.59561821809174,0.195391966410987,comments2016.32357872_MAT.txt,online comments,online comments,written
comments2016.32605392_MAT.txt,-0.633818242637626,-0.650632780757495,1.12082228803244,-0.621795259786474,comments2016.32605392_MAT.txt,online comments,online comments,written
comments2016.32709233_MAT.txt,-0.735528682928365,0.089970324085474,1.83608788295747,-0.364834600810648,comments2016.32709233_MAT.txt,online comments,online comments,written
